34,35,36,37,38,39,40,41,42,43,44
3.18,4.91,3.12,4.09,3.18,4.1,4.71,4.71,3.62,7.02,7.06
3.26,5.0,3.05,4.48,3.41,4.08,5.16,5.16,3.72,7.39,6.92
5.71,5.41,3.86,4.32,3.35,4.72,7.56,6.34,3.12,7.29,8.61
6.02,5.72,4.2,4.72,3.15,5.17,7.35,6.9,3.1,7.93,9.32
6.43,6.64,4.59,4.29,3.14,4.66,7.54,7.38,3.41,7.66,8.46
5.8,6.46,4.42,4.7,3.18,4.6,7.31,6.94,3.71,8.09,8.47
5.26,6.39,4.85,4.97,3.22,4.16,7.1,6.57,3.85,8.29,9.24
4.81,6.24,5.29,4.86,3.41,4.04,6.46,6.47,4.05,7.59,8.43
4.39,6.26,5.39,4.96,3.35,3.91,6.19,6.24,3.91,7.62,7.66
4.16,6.49,4.94,4.94,3.27,3.93,6.09,6.02,3.85,8.26,7.19
4.49,6.0,4.66,4.67,3.38,4.17,6.16,6.12,3.91,7.96,6.62
4.16,6.5,4.49,5.02,3.44,4.24,6.07,6.41,3.75,8.29,6.39
3.89,6.94,4.16,5.19,3.38,4.44,6.23,6.13,3.69,8.29,6.32
3.69,6.85,3.82,5.22,3.32,4.63,6.12,5.99,3.72,8.39,6.45
3.29,7.99,3.79,5.15,3.55,5.79,6.29,5.29,3.69,6.99,7.98
3.87,6.59,2.85,5.2,3.89,5.6,6.99,7.24,3.97,6.0,7.95
3.85,6.45,2.8,4.9,4.1,5.1,6.3,6.7,3.95,6.3,8.0
3.85,6.7,3.0,6.0,3.95,5.37,6.3,6.4,4.5,6.3,7.75
3.79,5.99,5.98,4.99,3.67,5.77,6.05,6.59,3.95,7.0,5.66
3.9,6.05,6.0,5.1,3.8,5.7,6.1,6.3,4.1,7.0,5.8
3.69,6.5,4.3,5.15,3.9,5.45,6.0,6.55,3.9,7.0,5.0
3.89,7.0,3.9,5.64,3.71,5.65,6.45,6.3,4.2,7.0,5.49
5.42,7.6,4.54,5.19,3.92,6.2,7.89,6.3,5.04,7.64,8.54
4.52,7.4,4.48,4.98,3.94,5.89,7.72,6.58,5.16,7.84,6.92
4.21,7.53,4.38,6.61,3.91,6.41,8.52,7.61,5.04,8.1,7.05
4.31,7.8,5.66,9.94,4.0,6.47,7.5,8.58,5.06,7.97,6.58
4.15,7.47,5.07,9.8,3.93,6.44,7.43,8.53,4.8,7.35,5.2
4.16,7.55,4.93,7.68,3.56,6.42,6.83,7.96,4.44,8.27,5.49
4.64,7.25,5.03,7.13,4.06,6.8,6.83,8.41,4.58,8.22,6.67
4.58,7.01,5.04,6.2,4.03,7.16,7.36,8.59,4.58,8.48,7.11
4.17,7.49,4.38,6.54,4.22,7.28,7.72,8.56,5.22,8.88,6.78
4.2,8.28,3.95,5.78,4.25,7.85,8.16,8.73,5.71,9.24,7.4
4.01,9.51,3.87,4.57,4.0,8.06,7.68,8.29,5.11,8.91,7.04
4.0,9.73,4.13,4.39,3.75,7.82,7.54,7.92,5.03,9.27,6.99
4.27,10.24,4.03,3.97,4.19,7.26,7.45,7.61,4.67,8.72,6.09
4.28,9.44,3.57,4.17,4.19,7.22,6.8,7.71,5.15,8.84,6.38
4.03,9.43,3.92,4.24,4.33,7.46,7.35,7.46,5.4,9.02,12.02
3.97,9.17,4.16,4.3,4.38,7.18,7.19,7.59,5.13,8.7,10.65
4.8,8.96,4.6,4.28,4.63,6.87,7.54,8.14,4.91,9.99,9.52
5.65,9.46,5.11,4.11,5.06,6.46,7.74,8.03,4.88,10.37,10.85
6.29,9.66,5.31,4.23,5.36,6.67,7.73,8.21,5.31,10.27,9.84
6.63,9.6,5.75,4.09,5.5,6.75,8.4,8.48,5.69,10.34,9.12
5.76,10.42,5.62,4.43,5.69,6.57,8.81,8.23,5.98,10.97,9.07
5.94,10.91,5.71,4.55,5.78,6.74,8.47,8.41,7.58,10.27,7.94
5.76,11.0,6.82,4.84,5.87,6.37,8.22,8.24,8.77,9.57,7.98
6.78,11.3,7.63,6.3,5.94,6.42,8.61,7.73,8.36,9.72,8.01
7.8,10.85,9.68,6.79,6.09,6.06,8.35,7.59,7.67,10.72,9.11
7.93,11.11,12.38,8.6,6.2,6.11,8.6,7.87,7.54,11.33,11.71
7.77,10.57,10.17,9.02,6.14,6.21,8.93,8.01,7.19,11.21,12.28
7.23,10.31,7.28,9.17,6.21,6.24,8.18,7.84,6.51,9.79,12.0
7.16,10.55,7.03,8.9,6.37,6.16,9.02,8.59,6.88,11.28,10.97
7.75,9.73,7.04,9.04,6.53,6.59,9.29,9.55,6.56,11.65,9.91
7.68,9.27,6.98,8.9,6.08,6.69,8.84,9.1,6.55,11.77,10.37
6.97,10.02,6.19,9.3,6.13,6.38,8.8,9.16,6.53,10.97,10.59
6.71,9.57,5.82,8.78,5.96,6.46,8.42,8.75,6.23,10.53,9.92
6.5,9.33,5.92,7.83,5.91,6.67,8.33,8.57,6.75,10.7,9.2
6.18,9.03,5.62,8.11,5.9,6.6,7.9,8.57,6.75,11.16,9.4
6.18,9.32,5.62,7.7,5.9,6.44,7.52,7.99,6.59,10.96,9.73
6.18,9.32,5.62,7.83,5.67,6.46,7.48,7.7,6.53,11.19,8.86
6.18,9.32,5.62,7.69,5.74,6.59,7.54,7.89,6.37,11.41,9.4
